GeneID	Phylostratum
WBGene00000959	1
WBGene00000960	1
WBGene00000961	2
WBGene00000962	1
WBGene00000963	1
WBGene00000964	1
WBGene00000965	1
WBGene00000966	1
WBGene00000967	2
WBGene00000968	2
WBGene00000969	2
WBGene00000970	1
WBGene00000971	1
WBGene00000972	1
WBGene00000973	2
WBGene00000974	2
WBGene00000975	7
WBGene00000976	2
WBGene00000977	2
WBGene00000978	2
WBGene00000979	2
WBGene00000980	1
WBGene00000981	1
WBGene00000982	2
WBGene00000983	2
WBGene00000984	4
WBGene00000985	1
WBGene00000986	2
WBGene00000987	1
WBGene00000988	2
WBGene00000989	7
WBGene00000990	2
WBGene00000991	2
WBGene00000992	1
WBGene00000993	1
WBGene00000994	1
WBGene00000995	1
WBGene00000996	2
WBGene00000998	1
WBGene00001000	1
WBGene00001001	1
WBGene00001002	1
WBGene00001005	1
WBGene00001006	1
WBGene00001007	2
WBGene00001008	1
WBGene00001016	1
WBGene00001017	2
WBGene00001018	1
WBGene00001019	1
WBGene00001020	1
WBGene00001021	2
WBGene00001022	2
WBGene00001023	2
WBGene00001025	1
WBGene00001026	1
WBGene00001027	1
WBGene00001028	1
WBGene00001029	1
WBGene00001030	1
WBGene00001031	1
WBGene00001032	2
WBGene00001033	2
WBGene00001034	1
WBGene00001035	2
WBGene00001036	1
WBGene00001037	1
WBGene00001038	1
WBGene00001039	2
WBGene00001040	1
WBGene00001041	1
WBGene00001042	1
WBGene00001043	1
WBGene00001044	0
WBGene00001045	1
WBGene00001046	1
WBGene00001047	1
WBGene00001048	1
WBGene00001049	1
WBGene00001050	2
WBGene00001051	1
WBGene00001052	2
WBGene00001053	1
WBGene00001054	2
WBGene00001055	1
WBGene00001056	1
WBGene00001057	1
WBGene00001058	1
WBGene00001059	1
WBGene00001060	11
WBGene00001061	1
WBGene00001062	13
WBGene00001063	1
WBGene00001064	1
WBGene00001065	1
WBGene00001066	1
WBGene00001067	4
WBGene00001068	2
WBGene00001069	2
WBGene00001070	3
WBGene00001071	3
WBGene00001072	1
WBGene00001073	1
WBGene00001074	1
WBGene00001075	4
WBGene00001076	1
WBGene00001077	1
WBGene00001078	1
WBGene00001079	2
WBGene00001080	1
WBGene00001081	2
WBGene00001082	1
WBGene00001085	2
WBGene00001086	1
WBGene00001087	1
WBGene00001088	1
WBGene00001089	2
WBGene00001090	1
WBGene00001092	1
WBGene00001093	1
WBGene00001094	1
WBGene00001095	2
WBGene00001096	2
WBGene00001099	2
WBGene00001101	1
WBGene00001102	11
WBGene00001103	7
WBGene00001104	7
WBGene00001105	7
WBGene00001106	1
WBGene00001107	7
WBGene00001108	7
WBGene00001109	7
WBGene00001110	2
WBGene00001112	2
WBGene00001113	5
WBGene00001115	1
WBGene00001116	1
WBGene00001117	1
WBGene00001118	1
WBGene00001119	1
WBGene00001121	1
WBGene00001122	1
WBGene00001123	1
WBGene00001127	2
WBGene00001129	2
WBGene00001130	1
WBGene00001131	1
WBGene00001132	1
WBGene00001133	2
WBGene00001134	1
WBGene00001135	1
WBGene00001136	3
WBGene00001137	1
WBGene00001145	1
WBGene00001147	1
WBGene00001148	2
WBGene00001149	1
WBGene00001150	1
WBGene00001151	2
WBGene00001152	1
WBGene00001153	1
WBGene00001154	2
WBGene00001155	1
WBGene00001156	1
WBGene00001157	4
WBGene00001158	4
WBGene00001159	1
WBGene00001160	1
WBGene00001161	1
WBGene00001162	2
WBGene00001163	1
WBGene00001164	12
WBGene00001165	5
WBGene00001166	1
WBGene00001167	1
WBGene00001168	1
WBGene00001169	1
WBGene00001170	11
WBGene00001171	2
WBGene00001172	1
WBGene00001173	1
WBGene00001174	2
WBGene00001175	5
WBGene00001177	1
WBGene00001178	1
WBGene00001179	1
WBGene00001182	1
WBGene00001184	1
WBGene00001185	1
WBGene00001186	2
WBGene00001187	1
WBGene00001188	1
WBGene00001189	1
WBGene00001190	2
WBGene00001193	2
WBGene00001194	1
WBGene00001196	1
WBGene00001202	1
WBGene00001204	1
WBGene00001207	1
WBGene00001208	1
WBGene00001209	1
WBGene00001210	1
WBGene00001211	2
WBGene00001214	2
WBGene00001215	1
WBGene00001223	2
WBGene00001224	2
WBGene00001225	1
WBGene00001226	1
WBGene00001227	1
WBGene00001228	1
WBGene00001229	1
WBGene00001230	1
WBGene00001231	2
WBGene00001232	1
WBGene00001233	1
WBGene00001234	1
WBGene00001235	2
WBGene00001236	1
WBGene00001237	0
WBGene00001239	1
WBGene00001240	2
WBGene00001241	1
WBGene00001242	2
WBGene00001243	2
WBGene00001244	2
WBGene00001245	9
WBGene00001246	5
WBGene00001247	2
WBGene00001248	2
WBGene00001249	1
WBGene00001250	1
WBGene00001251	2
WBGene00001252	1
WBGene00001253	2
WBGene00001258	1
WBGene00001259	1
WBGene00001262	1
WBGene00001263	1
WBGene00001281	1
WBGene00001284	3
WBGene00001303	1
WBGene00001309	2
WBGene00001310	2
WBGene00001311	4
WBGene00001320	2
WBGene00001324	1
WBGene00001325	2
WBGene00001328	1
WBGene00001329	1
WBGene00001330	2
WBGene00001331	1
WBGene00001332	2
WBGene00001333	1
WBGene00001334	1
WBGene00001335	1
WBGene00001336	1
WBGene00001337	1
WBGene00001338	1
WBGene00001340	2
WBGene00001345	2
WBGene00001352	1
WBGene00001358	1
WBGene00001362	2
WBGene00001365	1
WBGene00001366	1
WBGene00001368	1
WBGene00001371	2
WBGene00001372	1
WBGene00001373	1
WBGene00001374	2
WBGene00001377	1
WBGene00001385	2
WBGene00001386	2
WBGene00001387	2
WBGene00001388	11
WBGene00001389	11
WBGene00001390	2
WBGene00001391	5
WBGene00001392	1
WBGene00001393	2
WBGene00001394	2
WBGene00001395	3
WBGene00001396	3
WBGene00001397	2
WBGene00001398	2
WBGene00001399	2
WBGene00001400	1
WBGene00001401	2
WBGene00001402	2
WBGene00001403	1
WBGene00001404	1
WBGene00001405	1
WBGene00001406	1
WBGene00001410	1
WBGene00001411	2
WBGene00001412	1
WBGene00001413	5
WBGene00001414	2
WBGene00001423	1
WBGene00001424	1
WBGene00001425	1
WBGene00001426	1
WBGene00001427	2
WBGene00001428	2
WBGene00001429	2
WBGene00001430	2
WBGene00001431	1
WBGene00001432	1
WBGene00001433	2
WBGene00001434	1
WBGene00001435	11
WBGene00001436	11
WBGene00001437	11
WBGene00001438	2
WBGene00001439	1
WBGene00001440	2
WBGene00001441	2
WBGene00001442	2
WBGene00001443	1
WBGene00001444	2
WBGene00001445	9
WBGene00001446	7
WBGene00001447	8
WBGene00001448	5
WBGene00001449	9
WBGene00001450	9
WBGene00001451	4
WBGene00001452	6
WBGene00001453	5
WBGene00001454	2
WBGene00001455	2
WBGene00001456	5
WBGene00001457	2
WBGene00001458	8
WBGene00001459	8
WBGene00001460	2
WBGene00001461	5
WBGene00001462	7
WBGene00001463	11
WBGene00001464	5
WBGene00001465	5
WBGene00001466	1
WBGene00001468	5
WBGene00001470	1
WBGene00001475	1
WBGene00001476	1
WBGene00001477	1
WBGene00001478	1
WBGene00001479	2
WBGene00001480	1
WBGene00001481	7
WBGene00001482	12
WBGene00001483	1
WBGene00001484	1
WBGene00001485	1
WBGene00001486	2
WBGene00001487	1
WBGene00001488	1
WBGene00001489	1
WBGene00001490	1
WBGene00001491	1
WBGene00001492	1
WBGene00001493	1
WBGene00001494	1
WBGene00001495	7
WBGene00001496	1
WBGene00001497	1
WBGene00001498	1
WBGene00001499	1
WBGene00001500	2
WBGene00001501	2
WBGene00001502	1
WBGene00001503	1
WBGene00001505	1
WBGene00001506	2
WBGene00001507	2
WBGene00001508	1
WBGene00001509	1
WBGene00001510	1
WBGene00001511	1
WBGene00001512	2
WBGene00001513	1
WBGene00001514	5
WBGene00001515	1
WBGene00001516	1
WBGene00001517	1
WBGene00001518	1
WBGene00001519	1
WBGene00001520	1
WBGene00001522	2
WBGene00001523	2
WBGene00001526	1
WBGene00001527	1
WBGene00001528	4
WBGene00001530	4
WBGene00001531	4
WBGene00001532	4
WBGene00001533	2
WBGene00001534	2
WBGene00001535	2
WBGene00001536	2
WBGene00001537	4
WBGene00001538	1
WBGene00001539	6
WBGene00001540	2
WBGene00001541	4
WBGene00001542	2
WBGene00001543	2
WBGene00001544	4
WBGene00001545	2
WBGene00001546	4
WBGene00001547	2
WBGene00001548	2
WBGene00001549	4
WBGene00001550	2
WBGene00001551	4
WBGene00001552	3
WBGene00001553	4
WBGene00001554	3
WBGene00001555	3
WBGene00001556	3
WBGene00001557	3
WBGene00001558	1
WBGene00001559	1
WBGene00001560	1
WBGene00001561	2
WBGene00001562	1
WBGene00001563	11
WBGene00001564	2
WBGene00001565	1
WBGene00001566	1
WBGene00001568	1
WBGene00001569	13
WBGene00001570	2
WBGene00001571	8
WBGene00001572	2
WBGene00001574	1
WBGene00001575	2
WBGene00001577	2
WBGene00001578	2
WBGene00001579	1
WBGene00001580	1
WBGene00001581	3
WBGene00001582	1
WBGene00001583	2
WBGene00001584	8
WBGene00001585	1
WBGene00001586	3
WBGene00001587	2
WBGene00001588	2
WBGene00001589	2
WBGene00001590	1
WBGene00001591	1
WBGene00001592	2
WBGene00001593	1
WBGene00001594	1
WBGene00001595	1
WBGene00001596	2
WBGene00001597	2
WBGene00001598	1
WBGene00001599	1
WBGene00001600	1
WBGene00001601	9
WBGene00001602	1
WBGene00001603	1
WBGene00001604	1
WBGene00001606	1
WBGene00001607	1
WBGene00001608	2
WBGene00001609	1
WBGene00001612	1
WBGene00001613	1
WBGene00001614	1
WBGene00001615	2
WBGene00001616	2
WBGene00001617	2
WBGene00001618	1
WBGene00001619	1
WBGene00001620	2
WBGene00001621	2
WBGene00001622	1
WBGene00001623	2
WBGene00001624	2
WBGene00001625	2
WBGene00001626	2
WBGene00001627	1
WBGene00001628	1
WBGene00001629	2
WBGene00001630	1
WBGene00001631	1
WBGene00001632	2
WBGene00001633	2
WBGene00001635	1
WBGene00001636	1
WBGene00001637	2
WBGene00001638	1
WBGene00001639	1
WBGene00001640	2
WBGene00001641	2
WBGene00001642	2
WBGene00001643	2
WBGene00001644	2
WBGene00001645	1
WBGene00001646	1
WBGene00001647	1
WBGene00001648	1
WBGene00001649	1
WBGene00001650	1
WBGene00001651	1
WBGene00001653	2
WBGene00001660	2
WBGene00001661	2
WBGene00001662	1
WBGene00001663	1
WBGene00001664	1
WBGene00001665	1
WBGene00001666	1
WBGene00001667	2
WBGene00001668	2
WBGene00001669	1
WBGene00001670	1
WBGene00001671	2
WBGene00001672	1
WBGene00001673	1
WBGene00001674	1
WBGene00001675	2
WBGene00001676	7
WBGene00001677	1
WBGene00001678	1
WBGene00001679	1
WBGene00001680	2
WBGene00001681	1
WBGene00001682	3
WBGene00001683	2
WBGene00001684	2
WBGene00001685	2
WBGene00001686	2
WBGene00001687	1
WBGene00001688	7
WBGene00001689	7
WBGene00001690	5
WBGene00001691	5
WBGene00001692	6
WBGene00001693	6
WBGene00001694	2
WBGene00001695	7
WBGene00001696	2
WBGene00001697	3
WBGene00001698	2
WBGene00001699	2
WBGene00001700	5
WBGene00001701	5
WBGene00001702	8
WBGene00001703	8
WBGene00001704	2
WBGene00001705	7
WBGene00001707	1
WBGene00001708	2
WBGene00001709	1
WBGene00001710	5
WBGene00001711	5
WBGene00001712	4
WBGene00001713	2
WBGene00001714	2
WBGene00001715	2
WBGene00001716	2
WBGene00001717	2
WBGene00001718	4
WBGene00001719	2
WBGene00001720	4
WBGene00001721	2
WBGene00001722	4
WBGene00001723	2
WBGene00001724	2
WBGene00001725	2
WBGene00001726	2
WBGene00001727	3
WBGene00001728	8
WBGene00001729	5
WBGene00001730	5
WBGene00001731	9
WBGene00001732	5
WBGene00001733	7
WBGene00001734	4
WBGene00001735	4
WBGene00001736	4
WBGene00001737	4
WBGene00001738	4
WBGene00001739	4
WBGene00001740	2
WBGene00001743	1
WBGene00001744	1
WBGene00001745	1
WBGene00001746	1
WBGene00001747	1
WBGene00001748	1
WBGene00001749	1
WBGene00001750	2
WBGene00001751	2
WBGene00001752	2
WBGene00001753	2
WBGene00001754	2
WBGene00001755	2
WBGene00001756	2
WBGene00001757	2
WBGene00001758	8
WBGene00001759	2
WBGene00001760	2
WBGene00001761	2
WBGene00001762	2
WBGene00001763	2
WBGene00001764	2
WBGene00001765	2
WBGene00001766	2
WBGene00001767	2
WBGene00001768	2
WBGene00001769	2
WBGene00001770	2
WBGene00001771	1
WBGene00001772	2
WBGene00001773	1
WBGene00001774	2
WBGene00001775	2
WBGene00001776	2
WBGene00001777	2
WBGene00001778	2
WBGene00001779	2
WBGene00001780	2
WBGene00001781	2
WBGene00001782	2
WBGene00001783	2
WBGene00001784	2
WBGene00001785	2
