age	ID	ageN
N36	G020427	11
N36	G004356	11
N36	G008891	11
N36	G010352	11
N36	G009506	11
N36	G024941	11
N36	G022016	11
N36	G003298	11
N36	G016556	11
N36	G008160	11
N36	G008161	11
N36	G008164	11
N36	G013018	11
N36	G003915	11
N36	G008136	11
N36	G013078	11
N36	G025766	11
N36	G010144	11
N36	G015326	11
N36	G024557	11
N36	G024590	11
N36	G024555	11
N36	G014487	11
N36	G003301	11
N36	G003292	11
N36	G023153	11
N36	G025940	11
N36	G007610	11
N36	G011831	11
N36	G026875	11
N36	G000065	11
N36	G022997	11
N36	G022983	11
N36	G025082	11
N36	G010280	11
N36	G028294	11
N36	G008401	11
N36	G000962	11
N36	G012949	11
N36	G007693	11
N36	G009779	11
N36	G009775	11
N36	G003386	11
N36	G017440	11
N36	G017905	11
N36	G028207	11
N36	G000128	11
N36	G015798	11
N36	G026531	11
N36	G027632	11
N36	G007808	11
N36	G007807	11
N36	G007810	11
N36	G009193	11
N36	G022837	11
N36	G009601	11
N36	G014974	11
N36	G024566	11
N36	G028078	11
N36	G016426	11
N36	G016428	11
N36	G026156	11
N36	G000547	11
N36	G014069	11
N36	G022895	11
N36	G001107	11
N36	G010534	11
N36	G009048	11
N36	G025479	11
N36	G001901	11
N36	G001911	11
N36	G004841	11
N36	G003346	11
N36	G005866	11
N36	G017534	11
N36	G008353	11
N36	G013286	11
N36	G008641	11
N36	G022309	11
N36	G004678	11
N36	G013133	11
N36	G013296	11
N36	G013314	11
N36	G028057	11
N36	G008747	11
N36	G023083	11
N36	G002836	11
N36	G000497	11
N36	G000191	11
N36	G007481	11
N36	G010203	11
N36	G009359	11
N36	G027441	11
N36	G022728	11
N36	G022384	11
N36	G011791	11
N36	G011792	11
N36	G009074	11
N36	G009572	11
N36	G010550	11
N36	G006191	11
N36	G021572	11
N36	G023320	11
N36	G028703	11
N36	G013256	11
N36	G025992	11
N36	G013963	11
N36	G026814	11
N36	G025991	11
N36	G028308	11
N36	G020855	11
N36	G004811	11
N36	G025063	11
N36	G000040	11
N36	G000058	11
N36	G010050	11
N36	G000053	11
N36	G028886	11
N36	G014544	11
N36	G000155	11
N36	G019891	11
N36	G018542	11
N36	G007816	11
N36	G027787	11
N36	G023446	11
N36	G005693	11
N36	G008961	11
N36	G024120	11
N36	G009774	11
N36	G024632	11
N36	G015175	11
N36	G023293	11
N36	G015138	11
N36	G021563	11
N36	G028772	11
N36	G022404	11
N36	G025283	11
N36	G014492	11
N36	G008452	11
N36	G008449	11
N36	G008507	11
N36	G012084	11
N36	G019190	11
N36	G028158	11
N36	G015550	11
N36	G008946	11
N36	G015808	11
N36	G023946	11
N36	G013992	11
N36	G005978	11
N36	G026944	11
N36	G001256	11
N36	G001140	11
N36	G019997	11
N36	G010079	11
N36	G027471	11
N36	G010688	11
N36	G020898	11
N36	G018327	11
N36	G014341	11
N36	G014342	11
N36	G002449	11
N36	G002456	11
N36	G003306	11
N36	G003308	11
N36	G021696	11
N36	G005547	11
N36	G028366	11
N36	G011266	11
N36	G019607	11
N36	G019266	11
N36	G020066	11
N36	G000746	11
N36	G019265	11
N36	G008085	11
N36	G001054	11
N36	G002155	11
N36	G003277	11
N36	G003281	11
N36	G016325	11
N36	G026706	11
N36	G012254	11
N36	G007353	11
N36	G005750	11
N36	G005775	11
N36	G022048	11
N36	G009262	11
N36	G022955	11
N36	G011998	11
N36	G016920	11
N36	G014981	11
N36	G015192	11
N36	G024070	11
N36	G019132	11
N36	G019136	11
N36	G019144	11
N36	G012552	11
N36	G028256	11
N36	G025160	11
N36	G023240	11
N36	G007417	11
N36	G021780	11
N36	G017721	11
N36	G022941	11
N36	G026661	11
N36	G005470	11
N36	G014666	11
N36	G005198	11
N36	G016337	11
N36	G011607	11
N36	G007121	11
N36	G021797	11
N36	G003204	11
N36	G028771	11
N36	G020815	11
N36	G008853	11
N36	G018243	11
N36	G014292	11
N36	G027109	11
N36	G003524	11
N36	G023333	11
N36	G017373	11
N36	G008205	11
N36	G002633	11
N36	G024726	11
N36	G003871	11
N36	G001297	11
N36	G005807	11
N36	G022106	11
N36	G024371	11
N36	G003792	11
N36	G011411	11
N36	G004963	11
N36	G025370	11
N36	G026741	11
N36	G026743	11
N36	G015475	11
N36	G015476	11
N36	G015125	11
N36	G006417	11
N36	G001370	11
N36	G016992	11
N36	G027525	11
N36	G020273	11
N36	G007291	11
N36	G006451	11
N36	G022107	11
N36	G012193	11
N36	G001044	11
N36	G028436	11
N36	G017140	11
N36	G013052	11
N36	G006393	11
N36	G026576	11
N36	G010237	11
N36	G003258	11
N36	G015133	11
N36	G020211	11
N36	G027418	11
N36	G009298	11
N36	G005847	11
N36	G002118	11
N36	G002115	11
N36	G005200	11
N36	G022503	11
N36	G025028	11
N36	G028709	11
N36	G005676	11
N36	G007522	11
N36	G016001	11
N36	G004299	11
N36	G015686	11
N36	G016170	11
N36	G000291	11
N36	G000220	11
N36	G000156	11
N36	G018864	11
N36	G010197	11
N36	G000606	11
N36	G027537	11
N36	G001016	11
N36	G005375	11
N36	G001226	11
N36	G007224	11
N36	G001222	11
N36	G026862	11
N36	G001638	11
N36	G004628	11
N36	G002256	11
N36	G002687	11
N36	G002688	11
N36	G002742	11
N36	G002862	11
N36	G012060	11
N36	G022465	11
N36	G003863	11
N36	G005109	11
N36	G005394	11
N36	G017188	11
N36	G005808	11
N36	G009807	11
N36	G024570	11
N36	G006590	11
N36	G008348	11
N36	G007314	11
N36	G007996	11
N36	G011796	11
N36	G022434	11
N36	G011825	11
N36	G011959	11
N36	G011939	11
N36	G012142	11
N36	G026338	11
N36	G027025	11
N36	G012393	11
N36	G016071	11
N36	G013311	11
N36	G013353	11
N36	G013352	11
N36	G015230	11
N36	G014041	11
N36	G021975	11
N36	G014485	11
N36	G022238	11
N36	G014994	11
N36	G021261	11
N36	G018343	11
N36	G020428	11
N36	G020876	11
N36	G023248	11
N36	G024099	11
N36	G027138	11
N36	G027191	11
N36	G003232	11
N36	G025835	11
N36	G009735	11
N36	G013026	11
N36	G010113	11
N36	G027129	11
N36	G027131	11
N36	G027135	11
N36	G016898	11
N36	G022940	11
N36	G002255	11
N36	G022979	11
N36	G023386	11
N36	G004217	11
N36	G005150	11
N36	G009593	11
N36	G010077	11
N36	G018101	11
N36	G018562	11
N36	G026162	11
N36	G027853	11
N36	G010243	11
N36	G013642	11
N36	G020684	11
N36	G000761	11
N36	G013289	11
N36	G014651	11
N36	G004766	11
N36	G025266	11
N36	G000947	11
N36	G007146	11
N36	G025887	11
N36	G016035	11
N36	G026756	11
N36	G005035	11
N36	G019670	11
N36	G017567	11
N36	G006355	11
N36	G006577	11
N36	G001163	11
N36	G012582	11
N36	G002290	11
N36	G002718	11
N36	G024482	11
N36	G009881	11
N36	G026907	11
N36	G012860	11
N36	G010093	11
N36	G015753	11
N36	G000667	11
N36	G015980	11
N36	G008630	11
N36	G015664	11
N36	G017129	11
N36	G005725	11
N36	G024219	11
N36	G009422	11
N36	G025837	11
N36	G024564	11
N36	G009308	11
N36	G003903	11
N36	G006192	11
N36	G016006	11
N36	G010893	11
N36	G028661	11
N36	G007285	11
N36	G002048	11
N36	G000209	11
N36	G000460	11
N36	G000622	11
N36	G001373	11
N36	G002102	11
N36	G002210	11
N36	G002719	11
N36	G002771	11
N36	G003002	11
N36	G003106	11
N36	G007997	11
N36	G019640	11
N36	G003283	11
N36	G009784	11
N36	G003690	11
N36	G004098	11
N36	G004906	11
N36	G005034	11
N36	G010169	11
N36	G005701	11
N36	G006150	11
N36	G006436	11
N36	G017360	11
N36	G006860	11
N36	G007245	11
N36	G015551	11
N36	G007366	11
N36	G009013	11
N36	G007956	11
N36	G010034	11
N36	G009258	11
N36	G009627	11
N36	G017275	11
N36	G010345	11
N36	G018802	11
N36	G010633	11
N36	G011109	11
N36	G011147	11
N36	G011394	11
N36	G012226	11
N36	G012241	11
N36	G012402	11
N36	G024206	11
N36	G023263	11
N36	G012452	11
N36	G025136	11
N36	G013406	11
N36	G013312	11
N36	G013804	11
N36	G014156	11
N36	G014338	11
N36	G014387	11
N36	G015851	11
N36	G015115	11
N36	G015204	11
N36	G015229	11
N36	G028589	11
N36	G021052	11
N36	G016909	11
N36	G017020	11
N36	G025525	11
N36	G017390	11
N36	G017559	11
N36	G017911	11
N36	G017969	11
N36	G018013	11
N36	G018058	11
N36	G018884	11
N36	G019046	11
N36	G023681	11
N36	G021044	11
N36	G022131	11
N36	G022622	11
N36	G023154	11
N36	G023297	11
N36	G023349	11
N36	G023636	11
N36	G024337	11
N36	G027806	11
N36	G025900	11
N36	G025996	11
N36	G026183	11
N36	G027826	11
N36	G028164	11
N36	G028203	11
N36	G028292	11
N36	G028842	11
N33	G003876	10
N33	G003156	10
N33	G024425	10
N33	G015200	10
N33	G010300	10
N33	G027571	10
N33	G022760	10
N33	G008082	10
N33	G001984	10
N33	G003132	10
N33	G020408	10
N33	G002629	10
N33	G015779	10
N33	G023688	10
N33	G007494	10
N33	G015116	10
N33	G019363	10
N33	G023992	10
N33	G015543	10
N33	G015534	10
N33	G013501	10
N33	G023995	10
N33	G021984	10
N33	G010951	10
N33	G022639	10
N33	G017871	10
N33	G013985	10
N33	G025375	10
N33	G016497	10
N33	G028250	10
N33	G021374	10
N33	G005325	10
N33	G004897	10
N33	G019931	10
N33	G005324	10
N33	G004896	10
N33	G012233	10
N33	G028881	10
N33	G013360	10
N33	G015803	10
N33	G026203	10
N33	G013808	10
N33	G026204	10
N33	G013359	10
N33	G022828	10
N33	G015311	10
N33	G013731	10
N33	G015536	10
N33	G023996	10
N33	G015546	10
N33	G013502	10
N33	G015545	10
N33	G014057	10
N33	G000017	10
N33	G017713	10
N33	G027479	10
N33	G018986	10
N33	G015522	10
N33	G014985	10
N33	G024380	10
N33	G024486	10
N33	G024483	10
N33	G024488	10
N33	G002425	10
N33	G004064	10
N33	G002571	10
N33	G009770	10
N33	G013341	10
N33	G019731	10
N33	G010717	10
N33	G013718	10
N33	G007826	10
N33	G012237	10
N33	G007019	10
N33	G009957	10
N33	G026387	10
N33	G015245	10
N33	G015754	10
N33	G019010	10
N33	G003212	10
N33	G019009	10
N33	G010763	10
N33	G007502	10
N33	G003150	10
N33	G027388	10
N33	G013128	10
N33	G019349	10
N33	G007297	10
N33	G003526	10
N33	G003534	10
N33	G003533	10
N33	G021399	10
N33	G025727	10
N33	G016911	10
N33	G004519	10
N33	G009700	10
N33	G015537	10
N33	G013503	10
N33	G023971	10
N33	G013101	10
N33	G019303	10
N33	G019304	10
N33	G010258	10
N33	G005081	10
N33	G010429	10
N33	G021749	10
N33	G010397	10
N33	G025926	10
N33	G024405	10
N33	G025212	10
N33	G004172	10
N33	G014145	10
N33	G024191	10
N33	G002144	10
N33	G002145	10
N33	G002143	10
N33	G022817	10
N33	G014090	10
N33	G002822	10
N33	G016082	10
N33	G009570	10
N33	G016423	10
N33	G012150	10
N33	G025206	10
N33	G003917	10
N33	G015642	10
N33	G027500	10
N33	G008832	10
N33	G009621	10
N33	G017086	10
N33	G013184	10
N33	G016788	10
N33	G020689	10
N33	G014575	10
N33	G014573	10
N33	G014570	10
N33	G015032	10
N33	G014261	10
N33	G014220	10
N33	G014233	10
N33	G014255	10
N33	G015168	10
N33	G021619	10
N33	G016409	10
N33	G016410	10
N33	G016411	10
N33	G028286	10
N33	G012208	10
N33	G012206	10
N33	G010185	10
N33	G010179	10
N33	G014013	10
N33	G025752	10
N33	G019494	10
N33	G004200	10
N33	G023858	10
N33	G022034	10
N33	G025616	10
N33	G018334	10
N33	G021603	10
N33	G025070	10
N33	G026967	10
N33	G027000	10
N33	G007987	10
N33	G007989	10
N33	G007990	10
N33	G007988	10
N33	G007369	10
N33	G013394	10
N33	G020061	10
N33	G014476	10
N33	G015520	10
N33	G009712	10
N33	G005048	10
N33	G005049	10
N33	G005071	10
N33	G002435	10
N33	G014182	10
N33	G014183	10
N33	G001589	10
N33	G019762	10
N33	G012703	10
N33	G019237	10
N33	G026719	10
N33	G020226	10
N33	G010884	10
N33	G010876	10
N33	G026265	10
N33	G018565	10
N33	G021277	10
N33	G023966	10
N33	G025081	10
N33	G003152	10
N33	G008282	10
N33	G012247	10
N33	G011172	10
N33	G010173	10
N33	G003309	10
N33	G028084	10
N33	G009510	10
N33	G009487	10
N33	G021304	10
N33	G008829	10
N33	G015046	10
N33	G025042	10
N33	G002566	10
N33	G026603	10
N33	G024556	10
N33	G025335	10
N33	G025337	10
N33	G023604	10
N33	G023883	10
N33	G026725	10
N33	G006923	10
N33	G000382	10
N33	G025329	10
N33	G027899	10
N33	G012202	10
N33	G015787	10
N33	G012200	10
N33	G020521	10
N33	G017087	10
N33	G023994	10
N33	G019708	10
N33	G019706	10
N33	G019697	10
N33	G010901	10
N33	G028718	10
N33	G015741	10
N33	G012481	10
N33	G017118	10
N33	G017126	10
N33	G011224	10
N33	G007586	10
N33	G025255	10
N33	G010937	10
N33	G019219	10
N33	G019205	10
N33	G024873	10
N33	G013544	10
N33	G020773	10
N33	G001245	10
N33	G026727	10
N33	G007345	10
N33	G009417	10
N33	G000598	10
N33	G022079	10
N33	G011182	10
N33	G013274	10
N33	G026738	10
N33	G016811	10
N33	G021073	10
N33	G013056	10
N33	G012478	10
N33	G021515	10
N33	G002064	10
N33	G007925	10
N33	G028442	10
N33	G004360	10
N33	G013049	10
N33	G001294	10
N33	G002005	10
N33	G012377	10
N33	G010194	10
N33	G020225	10
N33	G007994	10
N33	G005677	10
N33	G025153	10
N33	G007793	10
N33	G009469	10
N33	G008604	10
N33	G007321	10
N33	G027657	10
N33	G028484	10
N33	G015951	10
N33	G018481	10
N33	G028625	10
N33	G024422	10
N33	G026313	10
N33	G027706	10
N33	G010335	10
N33	G017759	10
N33	G001969	10
N33	G017224	10
N33	G010213	10
N33	G019069	10
N33	G009547	10
N33	G017737	10
N33	G011805	10
N33	G009799	10
N33	G022620	10
N33	G000866	10
N33	G005300	10
N33	G025475	10
N33	G012593	10
N33	G013913	10
N33	G007964	10
N33	G020538	10
N33	G011196	10
N33	G000523	10
N33	G001386	10
N33	G026500	10
N29	G009361	9
N29	G008835	9
N29	G008830	9
N29	G025341	9
N29	G025333	9
N29	G025336	9
N29	G025304	9
N29	G025305	9
N29	G025309	9
N29	G028666	9
N29	G028658	9
N29	G028664	9
N29	G028654	9
N29	G028668	9
N29	G013275	9
N29	G025716	9
N29	G008434	9
N29	G028412	9
N29	G014989	9
N29	G009244	9
N29	G013332	9
N29	G009920	9
N29	G010182	9
N29	G009919	9
N29	G009917	9
N29	G009923	9
N29	G017593	9
N29	G009778	9
N29	G005662	9
N29	G019255	9
N29	G002940	9
N29	G028169	9
N29	G028028	9
N29	G009773	9
N29	G009764	9
N29	G004431	9
N29	G004404	9
N29	G009713	9
N29	G018055	9
N29	G018038	9
N29	G018039	9
N29	G018042	9
N29	G018043	9
N29	G012436	9
N29	G005785	9
N29	G005791	9
N29	G005797	9
N29	G005801	9
N29	G005800	9
N29	G005796	9
N29	G005790	9
N29	G008505	9
N29	G013249	9
N29	G010383	9
N29	G010388	9
N29	G010389	9
N29	G025851	9
N29	G026020	9
N29	G022368	9
N29	G028328	9
N29	G028330	9
N29	G011712	9
N29	G023989	9
N29	G007339	9
N29	G019359	9
N29	G015539	9
N29	G011320	9
N29	G020940	9
N29	G005459	9
N29	G012396	9
N29	G012386	9
N29	G027160	9
N29	G010859	9
N29	G022770	9
N29	G005151	9
N29	G025046	9
N29	G015420	9
N29	G015425	9
N29	G016587	9
N29	G019230	9
N29	G000450	9
N29	G025999	9
N29	G025969	9
N29	G025965	9
N29	G025960	9
N29	G025966	9
N29	G004722	9
N29	G017546	9
N29	G015802	9
N29	G015809	9
N29	G015784	9
N29	G015800	9
N29	G015801	9
N29	G010938	9
N29	G010947	9
N29	G023142	9
N29	G025831	9
N29	G007344	9
N29	G013500	9
N29	G023985	9
N29	G019258	9
N29	G009943	9
N29	G015256	9
N29	G024321	9
N29	G024333	9
N29	G024335	9
N29	G024329	9
N29	G025429	9
N29	G013208	9
N29	G001250	9
N29	G003383	9
N29	G007555	9
N29	G011990	9
N29	G022671	9
N29	G013333	9
N29	G001734	9
N29	G017707	9
N29	G017705	9
N29	G017703	9
N29	G020841	9
N29	G018972	9
N29	G027470	9
N29	G012355	9
N29	G009806	9
N29	G005809	9
N29	G005812	9
N29	G023803	9
N29	G024210	9
N29	G022050	9
N29	G009728	9
N29	G022036	9
N29	G004337	9
N29	G004338	9
N29	G025833	9
N29	G019184	9
N29	G019734	9
N29	G018855	9
N29	G025758	9
N29	G004350	9
N29	G009346	9
N29	G007950	9
N29	G007952	9
N29	G015483	9
N29	G027829	9
N29	G010366	9
N29	G024724	9
N29	G019817	9
N29	G025229	9
N29	G000145	9
N29	G007135	9
N29	G018156	9
N29	G000780	9
N29	G025907	9
N29	G019801	9
N29	G008707	9
N29	G028039	9
N29	G021896	9
N29	G010476	9
N29	G014281	9
N29	G009191	9
N29	G009942	9
N29	G016235	9
N29	G025881	9
N29	G023999	9
N29	G000163	9
N29	G022910	9
N29	G001647	9
N29	G024931	9
N29	G015181	9
N29	G003177	9
N29	G009721	9
N29	G025985	9
N29	G003334	9
N29	G003444	9
N29	G015280	9
N29	G028227	9
N29	G017602	9
N29	G009509	9
N29	G026997	9
N29	G007011	9
N29	G026266	9
N29	G028523	9
N29	G026278	9
N29	G019940	9
N29	G025154	9
N29	G008733	9
N29	G019490	9
N29	G008552	9
N29	G024830	9
N29	G015281	9
N29	G017139	9
N29	G027732	9
N29	G017942	9
N29	G016968	9
N29	G016150	9
N29	G023342	9
N29	G005713	9
N29	G022901	9
N29	G022906	9
N29	G028675	9
N29	G010263	9
N29	G009447	9
N29	G005656	9
N29	G005678	9
N29	G016034	9
N29	G013283	9
N29	G010558	9
N29	G027484	9
N29	G028145	9
N29	G027431	9
N29	G010117	9
N29	G017400	9
N29	G013588	9
N29	G000954	9
N29	G012640	9
N29	G016094	9
N29	G007825	9
N29	G025436	9
N29	G023389	9
N29	G024033	9
N29	G006404	9
N29	G006930	9
N29	G006927	9
N29	G013309	9
N29	G003679	9
N29	G021240	9
N29	G015912	9
N29	G027002	9
N29	G010168	9
N29	G000117	9
N29	G006736	9
N29	G011170	9
N29	G001596	9
N29	G026523	9
N29	G009491	9
N29	G016517	9
N29	G005376	9
N29	G004909	9
N29	G001366	9
N29	G003609	9
N29	G018190	9
N29	G003613	9
N29	G006268	9
N22	G006814	8
N22	G006821	8
N22	G006823	8
N22	G006807	8
N22	G024466	8
N22	G002868	8
N22	G003085	8
N22	G003180	8
N22	G000280	8
N22	G002808	8
N22	G000773	8
N22	G000023	8
N22	G000069	8
N22	G000196	8
N22	G003169	8
N22	G000442	8
N22	G002672	8
N22	G024223	8
N22	G027078	8
N22	G027792	8
N22	G011102	8
N22	G000654	8
N22	G008924	8
N22	G026621	8
N22	G011367	8
N22	G016301	8
N22	G022326	8
N22	G019452	8
N22	G005749	8
N22	G008230	8
N22	G005784	8
N22	G011276	8
N22	G001629	8
N22	G011275	8
N22	G014432	8
N22	G006039	8
N22	G008564	8
N22	G004472	8
N22	G009953	8
N22	G025278	8
N22	G015893	8
N22	G026016	8
N22	G026017	8
N22	G024196	8
N22	G024197	8
N22	G026015	8
N22	G027518	8
N22	G015502	8
N22	G014240	8
N22	G000395	8
N22	G000394	8
N22	G001097	8
N22	G020932	8
N22	G027982	8
N22	G021825	8
N22	G013536	8
N22	G021823	8
N22	G027981	8
N22	G022171	8
N22	G022170	8
N22	G014239	8
N22	G000586	8
N22	G004813	8
N22	G004812	8
N22	G006253	8
N22	G006250	8
N22	G006248	8
N22	G022501	8
N22	G022500	8
N22	G022498	8
N22	G016567	8
N22	G024434	8
N22	G025800	8
N22	G016544	8
N22	G025801	8
N22	G018753	8
N22	G011369	8
N22	G024139	8
N22	G001804	8
N22	G025848	8
N22	G001805	8
N22	G009824	8
N22	G014130	8
N22	G020978	8
N22	G019306	8
N22	G013323	8
N22	G002371	8
N22	G025528	8
N22	G021532	8
N22	G010636	8
N22	G011325	8
N22	G019417	8
N22	G004135	8
N22	G025785	8
N22	G005935	8
N22	G025157	8
N22	G024413	8
N22	G017262	8
N22	G025156	8
N22	G009382	8
N22	G009195	8
N22	G025784	8
N22	G019416	8
N22	G013322	8
N22	G027627	8
N22	G002372	8
N22	G013507	8
N22	G000057	8
N22	G017919	8
N22	G007672	8
N22	G007138	8
N22	G000774	8
N22	G021463	8
N22	G009119	8
N22	G017664	8
N22	G016832	8
N22	G022273	8
N22	G026457	8
N22	G013195	8
N22	G005122	8
N22	G010343	8
N22	G010347	8
N22	G010346	8
N22	G010350	8
N22	G010313	8
N22	G010361	8
N22	G007017	8
N22	G006595	8
N22	G024638	8
N22	G006594	8
N22	G000651	8
N22	G013675	8
N22	G007015	8
N22	G007016	8
N22	G028008	8
N22	G018404	8
N22	G006593	8
N22	G024637	8
N22	G020576	8
N22	G008168	8
N22	G010587	8
N22	G000941	8
N22	G000924	8
N22	G024484	8
N22	G010588	8
N22	G022558	8
N22	G008169	8
N22	G027492	8
N22	G005821	8
N22	G008860	8
N22	G008867	8
N22	G008866	8
N22	G008863	8
N22	G008858	8
N22	G008857	8
N22	G008856	8
N22	G008852	8
N22	G001148	8
N22	G020165	8
N22	G025388	8
N22	G024121	8
N22	G022753	8
N22	G025891	8
N22	G019421	8
N22	G026410	8
N22	G025300	8
N22	G012451	8
N22	G012470	8
N22	G012460	8
N22	G000922	8
N22	G000608	8
N22	G003037	8
N22	G012283	8
N22	G024160	8
N22	G019637	8
N22	G001781	8
N22	G026812	8
N22	G010180	8
N22	G010171	8
N22	G010167	8
N22	G003290	8
N22	G001904	8
N22	G001906	8
N22	G002183	8
N22	G002188	8
N22	G002211	8
N22	G026910	8
N22	G018396	8
N22	G022876	8
N22	G022421	8
N22	G023212	8
N22	G024257	8
N22	G002101	8
N22	G003155	8
N22	G016952	8
N22	G020904	8
N22	G019101	8
N22	G009310	8
N22	G017989	8
N22	G019715	8
N22	G019705	8
N22	G019956	8
N22	G023805	8
N22	G023806	8
N22	G017861	8
N22	G015792	8
N22	G017357	8
N22	G020941	8
N22	G015793	8
N22	G018179	8
N22	G005455	8
N22	G015794	8
N22	G000133	8
N22	G000134	8
N22	G000051	8
N22	G000132	8
N22	G005457	8
N22	G005456	8
N22	G005458	8
N22	G000135	8
N22	G017076	8
N22	G015530	8
N22	G007111	8
N22	G006702	8
N22	G019418	8
N22	G013177	8
N22	G025809	8
N22	G024783	8
N22	G025970	8
N22	G013614	8
N22	G027059	8
N22	G027073	8
N22	G027057	8
N22	G027085	8
N22	G006660	8
N22	G021275	8
